iter	Passed	Remaining
1571	63628	267951
1572	63664	267890
1573	63705	267854
1574	63747	267822
1575	63788	267782
1576	63829	267742
1577	63870	267704
1578	63912	267672
1579	63953	267634
1580	63996	267602
1581	64039	267574
1582	64079	267532
1583	64119	267486
1584	64160	267448
1585	64201	267412
1586	64243	267379
1587	64284	267341
1588	64327	267310
1589	64369	267276
1590	64412	267245
1591	64456	267218
1592	64498	267183
1593	64539	267147
1594	64583	267121
1595	64620	267066
1596	64650	266981
1597	64679	266896
1598	64711	266818
1599	64742	266738
1600	64776	266670
1601	64812	266614
1602	64846	266545
1603	64880	266478
1604	64917	266424
1605	64952	266362
1606	64988	266302
1607	65029	266264
1608	65067	266212
1609	65105	266163
1610	65147	266129
1611	65181	266062
1612	65219	266012
1613	65256	265958
1614	65302	265939
1615	65345	265910
1616	65380	265849
1617	65414	265779
1618	65447	265709
1619	65487	265668
1620	65531	265641
1621	65573	265607
1622	65615	265574
1623	65656	265537
1624	65697	265497
1625	65741	265474
1626	65783	265438
1627	65817	265372
1628	65860	265342
1629	65901	265305
1630	65942	265266
1631	65985	265235
1632	66027	265202
1633	66068	265163
1634	66110	265127
1635	66149	265083
1636	66188	265035
1637	66226	264988
1638	66268	264954
1639	66307	264904
1640	66344	264852
1641	66383	264806
1642	66424	264768
1643	66463	264721
1644	66502	264676
1645	66543	264636
1646	66581	264587
1647	66620	264543
1648	66662	264506
1649	66723	264550
1650	66765	264514
1651	66808	264484
1652	66851	264452
1653	66892	264416
1654	66932	264374
1655	66974	264338
1656	67014	264297
1657	67054	264253
1658	67093	264209
1659	67136	264179
